mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__min_child_weight,param_model__max_depth,param_model__gamma,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9123209953308106,0.1284574772731878,0.010158729553222657,0.0006229961031920174,0.4,10,5,2,0.6,"{'model__subsample': 0.4, 'model__min_child_weight': 10, 'model__max_depth': 5, 'model__gamma': 2, 'model__colsample_bytree': 0.6}",-0.1576987343453446,-0.18616778136870368,-0.16434397916577534,-0.1609109236865076,-0.16464325448358613,-0.16675293460998347,0.01003292305656415,10
2.34674277305603,0.14085444272443962,0.011844110488891602,0.00011900000320640466,1.0,10,10,1,0.6,"{'model__subsample': 1.0, 'model__min_child_weight': 10, 'model__max_depth': 10, 'model__gamma': 1, 'model__colsample_bytree': 0.6}",-0.14243827138709,-0.16795428150631492,-0.15298714323180532,-0.13789535558735488,-0.15337032844735968,-0.15092907603198497,0.010411768414099902,6
0.8758972644805908,0.00831625351199833,0.010266494750976563,6.254758632132234e-05,0.4,1,4,0.5,1.0,"{'model__subsample': 0.4, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__gamma': 0.5, 'model__colsample_bytree': 1.0}",-0.1420714760125825,-0.1811478267056315,-0.20064598220968116,-0.14748306259542943,-0.15147879448386486,-0.16456542840143787,0.022564695431241323,9
1.346078634262085,0.009973011437412433,0.010523796081542969,8.068403165588363e-05,1.0,1,5,0.5,0.8,"{'model__subsample': 1.0, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__gamma': 0.5, 'model__colsample_bytree': 0.8}",-0.13358077830852857,-0.1533255906349223,-0.15081241190580127,-0.12774582884039434,-0.15200808141139566,-0.14349453822020844,0.010667574862578922,3
1.0292847633361817,0.01117918670893506,0.010565423965454101,7.11310313284821e-05,1.0,8,5,5,0.6,"{'model__subsample': 1.0, 'model__min_child_weight': 8, 'model__max_depth': 5, 'model__gamma': 5, 'model__colsample_bytree': 0.6}",-0.14993336504638388,-0.1557576054326387,-0.14333792116245406,-0.13268758847935647,-0.145957413378657,-0.145534778699898,0.0076669269975580415,4
0.8326363563537598,0.005831804454228473,0.010144662857055665,9.375076923048571e-05,1.0,5,4,1.5,1.0,"{'model__subsample': 1.0, 'model__min_child_weight': 5, 'model__max_depth': 4, 'model__gamma': 1.5, 'model__colsample_bytree': 1.0}",-0.13001174458755257,-0.15485541770086306,-0.1426690406624506,-0.12904457025281718,-0.15306321001606688,-0.14192879664395006,0.010951164994738949,1
2.1543657779693604,0.06807422373254443,0.011646842956542969,7.748869377867585e-05,0.6,8,10,1.5,0.8,"{'model__subsample': 0.6, 'model__min_child_weight': 8, 'model__max_depth': 10, 'model__gamma': 1.5, 'model__colsample_bytree': 0.8}",-0.1593762611709689,-0.17274477196148524,-0.16172880907488665,-0.1506013351231099,-0.1582698299604283,-0.16054420145817577,0.007150589583985758,8
0.994530439376831,0.01691188716100033,0.010565757751464844,9.286983616339221e-05,0.6,5,5,2,0.4,"{'model__subsample': 0.6, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__gamma': 2, 'model__colsample_bytree': 0.4}",-0.14389114918110937,-0.17426514632296514,-0.1508859975960158,-0.1516579395994593,-0.15584192011198397,-0.15530843056230673,0.010226240709846538,7
1.0984213829040528,0.008238215383487884,0.010564470291137695,0.00010057213496729722,1.0,5,5,1.5,0.6,"{'model__subsample': 1.0, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__gamma': 1.5, 'model__colsample_bytree': 0.6}",-0.13283676665120672,-0.15996788930458664,-0.1514274855652866,-0.12838408800695944,-0.13874124966323292,-0.14227149583825444,0.011758667771126633,2
2.164433813095093,0.11418592610909954,0.011126899719238281,0.00029864032180045323,0.8,5,8,2,0.8,"{'model__subsample': 0.8, 'model__min_child_weight': 5, 'model__max_depth': 8, 'model__gamma': 2, 'model__colsample_bytree': 0.8}",-0.1405867072573523,-0.1687040457597282,-0.15322259847334901,-0.1357627366991287,-0.15315587613701448,-0.15028639286531456,0.011498570911945713,5
